['<start> 3asslema : <end>', '<start> مرحبا <end>']
['<start> manich jdida <end>', '<start> ليست جديدة .  <end>']
['<start> wa9t noum <end>', '<start> حان وقت النوم .  <end>']
['<start> dhlem barcha <end>', '<start> انه مظلم جدا .  <end>']
['<start> kbir barcha <end>', '<start> هل توم كبير؟ <end>']
['<start> skhoun barcha <end>', '<start> انه ساخن جدا .  <end>']
['<start> skhouna barcha <end>', '<start> انها ساخنة جدا .  <end>']
['<start> nse lwela <end>', '<start> السيدات اولا .  <end>']
['<start> khanlini na3malha <end>', '<start> دعني افعلها <end>']
['<start> asma3ni <end>', '<start> استمع الي <end>']
['<start> chouf hetha <end>', '<start> انظر الى هذا !  <end>']
['<start> 3ini touja3 <end>', '<start> عيناي تولمانني .  <end>']
['<start> maya3raf 7ad <end>', '<start> لا احد يعلم .  <end>']
['<start> al3ab m3aya <end>', '<start> العب معي .  <end>']
['<start> nchoufek ba3d <end>', '<start> اذا اراك لاحقا .  <end>']
['<start> ya nari 3lik <end>', '<start> عار عليك !  <end>']
['<start> yomkon tji <end>', '<start> ربما ستاتي .  <end>']
['<start> o93od fedar <end>', '<start> ابق في البيت .  <end>']
['<start> yezi mel ghazran <end>', '<start> كف عن التحديق .  <end>']
['<start> 7abes lkarhba <end>', '<start> اوقف السيارة <end>']
['<start> yezi msye7 <end>', '<start> توقف عن الصراخ !  <end>']
['<start> lila s3ida <end>', '<start> احلاما سعيدة !  <end>']
['<start> seyes rou7ek <end>', '<start> على رسلك .  <end>']
['<start> mathezech l7mel .  <end>', '<start> لا تحمل هما .  <end>']
['<start> a7kilna kolchay <end>', '<start> اخبرنا اكثر <end>']
['<start> 3aychek maraokhra <end>', '<start> شكرا مرة اخرى <end>']
['<start> ydha7ak <end>', '<start> كان ذلك ممتعا .  <end>']
['<start> hethi te3na <end>', '<start> هذه لنا <end>']
['<start> hetha s7i7 <end>', '<start> ان ذلك صحيح .  <end>']
['<start> mna3 <end>', '<start>  . نجا <end>']
['<start> s3ib <end>', '<start> انه شديد .  <end>']
['<start> chay maytsada98 <end>', '<start> شيء لا يصدق !  <end>']
['<start> a7na 3rab <end>', '<start>  . نحن عرب .  <end>']
['<start> 7achtna b matra <end>', '<start> نحن نحتاج الي المطر .  <end>']
['<start> nja7na <end>', '<start> نجحنا !  <end>']
['<start> 7achtna b l7am <end>', '<start> نريد لحما .  <end>']
['<start> chnowa lmochkla ?  <end>', '<start> ما المشكلة؟ <end>']
['<start> chnowa lmochkel !  <end>', '<start> ما الخطب؟ <end>']
['<start> a7na win <end>', '<start> اين نحن؟ <end>']
['<start> 3leh tsalam taw <end>', '<start> لم الاستسلام الان؟ <end>']
['<start> makch mechi <end>', '<start> الن تذهب؟ <end>']
['<start> emchi enti louk <end>', '<start> اذهب انت اولا .  <end>']
['<start> ta3raf kifeh <end>', '<start> انت تعلم كيف <end>']
['<start> enty majnoun <end>', '<start> انك مجنون .  <end>']
['<start> enty s7i7 <end>', '<start> انت محق .  <end>']
['<start> koun mo7tram <end>', '<start> كن محترما .  <end>']
['<start> jibou hne <end>', '<start> احضره الى هنا .  <end>']
['<start> jib lmefte7 <end>', '<start> احضر المفتاح .  <end>']
['<start> tnajam tsou9 lkarhba <end>', '<start> هل تستطيع ان تقود سيارة؟ <end>']
['<start> ija ghodwa <end>', '<start> تعال غدا .  <end>']
['<start> lkol ymoutou <end>', '<start> الجميع يموت .  <end>']
['<start> nawar ytfata7 <end>', '<start> الازهار تتفتح .  <end>']
['<start> ija wraya <end>', '<start> اذهب خلفي .  <end>']
['<start> rabi ybereklek <end>', '<start> باركك الله .  <end>']
['<start> barej 3liha <end>', '<start> خدعها .  <end>']
['<start> besha <end>', '<start> قبلها .  <end>']
['<start> ktheb 3lina <end>', '<start> كذب علينا .  <end>']
['<start> ybi3 lkraheb <end>', '<start> انه يبيع السيارات .  <end>']
['<start> howa metghachech <end>', '<start> انه غاضب .  <end>']
['<start> chbeb <end>', '<start> انه شاب جدا .  <end>']
['<start> mazel sghir <end>', '<start> انه صغير جدا .  <end>']
['<start> mridh barcha <end>', '<start> انه مريض جدا .  <end>']
['<start> haw je <end>', '<start> ها قد اتى .  <end>']
['<start> hne wala thezou <end>', '<start> هنا ام تاخذها معك؟ <end>']
['<start> wenty <end>', '<start> ماذا عنك؟ <end>']
['<start> 9adeh koberha <end>', '<start> ما هو حجمها؟ <end>']
['<start> chsar <end>', '<start> كيف جرى الامر؟ <end>']
['<start> 9adeh 3omrou <end>', '<start> كم عمره؟ <end>']
['<start> chn7wel khedma <end>', '<start> كيف حال الوظيفة؟ <end>']
['<start> zedt me <end>', '<start> اضفت بعض الماء <end>']
['<start> ena moslem <end>', '<start> انا مسلم <end>']
['<start> hani nasma3 <end>', '<start> كلي اذان صاغية .  <end>']
['<start> manich fadhi <end>', '<start> انا مشغول الان .  <end>']
['<start> msad9ek <end>', '<start> اصدقك .  <end>']
['<start> jit blkarhba <end>', '<start> اتيت بالسيارة .  <end>']
['<start> najamch na3malha <end>', '<start> لا يمكنني فعل ذلك .  <end>']
['<start> hetha jorti <end>', '<start> هذا بسببي .  <end>']
['<start> 9abeltou <end>', '<start> لقد قابلته .  <end>']
['<start> n7ebek <end>', '<start> احبك .  <end>']
['<start> ena battal <end>', '<start> انا عاطل عن العمل .  <end>']
['<start> nakrah l9ahwa <end>', '<start> اكره القهوة <end>']
['<start> n7eb l9ahwa <end>', '<start> احب القهوة <end>']
['<start> 3andi kteb <end>', '<start> عندي كتاب .  <end>']
['<start> greset <end>', '<start> اصبت بالبرد .  <end>']
['<start> 3andi gripe <end>', '<start> لدي زكام .  <end>']
['<start> garapet <end>', '<start> اصبت بالزكام .  <end>']
['<start> 9omt taw <end>', '<start> استيقظت للتو .  <end>']
['<start> n7eb aflem <end>', '<start> احب الافلام .  <end>']
['<start> n7eb ntfarej fi aflem <end>', '<start> احب مشاهدة الافلام .  <end>']
['<start> n7eb sport <end>', '<start> احب الرياضة .  <end>']
['<start> n7eb nal3ab sport <end>', '<start> احب ممارسة الالعاب الرياضية .  <end>']
['<start> n7eb nal3ab tennis <end>', '<start> احب لعب التنس .  <end>']
['<start> khsart khedmti <end>', '<start> خسرت وظيفتي .  <end>']
['<start> dhaya3t mefte7i <end>', '<start> اضعت مفتاحي .  <end>']
['<start> n7eb baba <end>', '<start> انا احب ابي <end>']
['<start> lazemni nemchi taw <end>', '<start> يتوجب علي الذهاب الان .  <end>']
['<start> nst7a9 mefte7i <end>', '<start> احتاج لمفتاحي .  <end>']
['<start> rit 3obitha <end>', '<start> رايت شبحا .  <end>']
['<start> ntmacha <end>', '<start> تمشيت .  <end>']
['<start> n7eb nmout <end>', '<start> اريد ان اموت .  <end>']
['<start> bch nechri hetha <end>', '<start> ساشتري ذلك .  <end>']
['<start> taw nkalmek <end>', '<start> ساتصل بك .  <end>']
['<start> bch ntwa7chek <end>', '<start> ساشتاق اليك .  <end>']
['<start> bch nekhthou m3aya <end>', '<start> ساخذه معي .  <end>']
['<start> ena 7achem <end>', '<start> انا خجول قليلا .  <end>']
['<start> ena telmith <end>', '<start> انا تلميذ .  <end>']
['<start> ena taleb <end>', '<start> انا طالب <end>']
['<start> ena f karhba <end>', '<start> انا في السيارة <end>']
['<start> manich mechi <end>', '<start> انا لست ذاهبا .  <end>']
['<start> manich mechya <end>', '<start> انا لست ذاهبة .  <end>']
['<start> manich fer7ana <end>', '<start> انا لست سعيدا .  <end>']
['<start> manich te3ba <end>', '<start> انا لست متعبا .  <end>']
['<start> mrigma <end>', '<start> انني اتبع حمية .  <end>']
['<start> ena te3ba barcha <end>', '<start> انا متعب الان .  <end>']
['<start> wadha7 <end>', '<start> اهذا واضح؟ <end>']
['<start> hetha mte3ek <end>', '<start> هل هذا لك؟ <end>']
['<start> mch mte3i <end>', '<start> ليس ملكي .  <end>']
['<start> mayouja3ech <end>', '<start> لن يولم .  <end>']
['<start> bch youfa <end>', '<start> سيتم الامر <end>']
['<start> lyoum sebt <end>', '<start> هل اليوم هو السبت؟ <end>']
['<start> hetha ser <end>', '<start> انه سر .  <end>']
['<start> hetha s7i7 <end>', '<start> هذا صحيح .  <end>']
['<start> hetha yfaded <end>', '<start> انه مزعج .  <end>']
['<start> lkhrif dkhal <end>', '<start> دخل الخريف .  <end>']
['<start> a7na f lkhrif taw <end>', '<start> نحن في الخريف الان .  <end>']
['<start> t7asant <end>', '<start> لقد تحسنت .  <end>']
['<start> d9i9a belah <end>', '<start> دقيقة من فضلك .  <end>']
['<start> arte7 taw <end>', '<start> استرح الان فحسب .  <end>']
['<start> khalini nchoufha <end>', '<start> دعني اراها .  <end>']
['<start> khalini njarabha <end>', '<start> دعني اجربها .  <end>']
['<start> denya ma7leha <end>', '<start> الحياة حلوة .  <end>']
['<start> saker lbeb <end>', '<start> اغلق البوابة .  <end>']
['<start> l7ob a3ma <end>', '<start> الحب اعمى .  <end>']
['<start> l7adh a3ma <end>', '<start> الحظ اعمى .  <end>']
